SALESORDERID,SALESORDERITEM,PRODUCTID,NETAMOUNT,QUANTITY,DELIVERYDATE,PRECIO_UNITARIO
500000080,70,CB-1162,350.0,9,2018-07-03,38.888888888888886
500000080,80,EB-1133,1968.75,2,2018-07-03,984.375
500000080,90,MB-1033,3499.12,5,2018-07-03,699.824
500000081,10,HB-1172,699.12,5,2018-07-08,139.824
500000081,20,EB-1132,1662.5,9,2018-07-08,184.72222222222223
500000081,30,BX-1016,279.12,3,2018-07-08,93.04
500000081,40,CB-1161,349.12,7,2018-07-08,49.87428571428571
500000082,10,RC-1052,3499.12,1,2018-07-12,3499.12
500000082,20,DB-1083,1049.12,6,2018-07-12,174.85333333333332
500000082,30,BX-1013,392.88,4,2018-07-12,98.22
500000083,10,RO-1002,602.88,8,2018-07-09,75.36
500000083,20,CC-1023,1190.88,10,2018-07-09,119.08800000000001
500000083,30,RC-1056,2186.62,4,2018-07-09,546.655
500000084,10,HB-1173,567.88,1,2018-07-20,567.88
500000084,20,BX-1013,392.88,1,2018-07-20,392.88
500000084,30,BX-1013,392.88,10,2018-07-20,39.288
500000084,40,MB-1033,3499.12,7,2018-07-20,499.8742857142857
500000084,50,RO-1001,459.38,8,2018-07-20,57.4225
500000084,60,RC-1057,4374.12,2,2018-07-20,2187.06
500000084,70,DB-1083,1049.12,2,2018-07-20,524.56
500000084,80,EB-1133,1968.75,2,2018-07-20,984.375
500000084,90,CC-1023,1190.88,8,2018-07-20,148.86
500000084,100,RC-1054,4811.62,4,2018-07-20,1202.905
500000085,10,CC-1022,1050.0,8,2018-07-29,131.25
500000085,20,HB-1174,331.62,1,2018-07-29,331.62
500000085,30,EB-1134,4200.0,7,2018-07-29,600.0
500000085,40,BX-1014,699.12,6,2018-07-29,116.52
500000086,10,RC-1052,3499.12,4,2018-07-15,874.78
500000086,20,RO-1001,459.38,10,2018-07-15,45.938
500000086,30,BX-1013,392.88,1,2018-07-15,392.88
500000087,10,EB-1134,4200.0,5,2018-08-01,840.0
500000087,20,MB-1033,3499.12,10,2018-08-01,349.912
500000087,30,BX-1011,217.88,3,2018-08-01,72.62666666666667
500000087,40,CC-1023,1190.88,1,2018-08-01,1190.88
500000087,50,RO-1002,602.88,2,2018-08-01,301.44
500000087,60,BX-1014,699.12,1,2018-08-01,699.12
500000087,70,BX-1015,261.62,6,2018-08-01,43.60333333333333
500000087,80,BX-1015,261.62,1,2018-08-01,261.62
500000088,10,HB-1176,1049.12,8,2018-07-30,131.14
500000088,20,EB-1136,4375.0,4,2018-07-30,1093.75
500000088,30,CB-1163,252.0,2,2018-07-30,126.0
500000088,40,CB-1162,350.0,7,2018-07-30,50.0
500000088,50,EB-1132,1662.5,10,2018-07-30,166.25
500000088,60,DB-1081,1311.62,10,2018-07-30,131.16199999999998
500000088,70,BX-1015,261.62,8,2018-07-30,32.7025
500000088,80,RC-1053,4024.12,1,2018-07-30,4024.12
500000089,10,RC-1055,1749.12,6,2018-08-08,291.52
500000089,20,EB-1133,1968.75,2,2018-08-08,984.375
500000089,30,RC-1056,2186.62,10,2018-08-08,218.66199999999998
500000090,10,DB-1082,1093.75,6,2018-08-06,182.29166666666666
500000090,20,RC-1053,4024.12,9,2018-08-06,447.1244444444444
500000090,30,RO-1003,630.88,9,2018-08-06,70.09777777777778
500000090,40,HB-1176,1049.12,7,2018-08-06,149.8742857142857
500000090,50,RC-1056,2186.62,9,2018-08-06,242.95777777777778
500000091,10,EB-1132,1662.5,3,2018-07-21,554.1666666666666
500000091,20,MB-1034,2186.62,9,2018-07-21,242.95777777777778
500000092,10,HB-1175,786.62,9,2018-07-19,87.40222222222222
500000092,20,HB-1173,567.88,2,2018-07-19,283.94
500000092,30,HB-1172,699.12,8,2018-07-19,87.39
500000092,40,MB-1031,567.88,5,2018-07-19,113.576
500000092,50,MB-1032,1136.62,1,2018-07-19,1136.62
500000092,60,DB-1081,1311.62,3,2018-07-19,437.20666666666665
500000092,70,RC-1051,2186.62,4,2018-07-19,546.655
500000092,80,BX-1012,349.12,8,2018-07-19,43.64
500000092,90,BX-1013,392.88,10,2018-07-19,39.288
500000093,10,HB-1174,331.62,10,2018-08-11,33.162
500000093,20,RC-1056,2186.62,8,2018-08-11,273.3275
500000093,30,HB-1176,1049.12,6,2018-08-11,174.85333333333332
500000093,40,DB-1083,1049.12,7,2018-08-11,149.8742857142857
500000093,50,MB-1032,1136.62,3,2018-08-11,378.8733333333333
500000094,10,BX-1013,392.88,3,2018-08-07,130.96
500000094,20,RC-1056,2186.62,10,2018-08-07,218.66199999999998
500000095,10,BX-1016,279.12,5,2018-08-03,55.824
500000095,20,MB-1033,3499.12,2,2018-08-03,1749.56
500000096,10,RC-1057,4374.12,7,2018-08-08,624.8742857142857
500000096,20,MB-1033,3499.12,2,2018-08-08,1749.56
500000096,30,RC-1057,4374.12,8,2018-08-08,546.765
500000096,40,BX-1011,217.88,7,2018-08-08,31.125714285714285
500000096,50,BX-1011,217.88,5,2018-08-08,43.576
500000096,60,CB-1162,350.0,4,2018-08-08,87.5
500000096,70,RO-1001,459.38,10,2018-08-08,45.938
500000096,80,BX-1013,392.88,9,2018-08-08,43.653333333333336
500000096,90,BX-1013,392.88,1,2018-08-08,392.88
500000097,10,RC-1056,2186.62,5,2018-08-22,437.32399999999996
500000097,20,EB-1132,1662.5,8,2018-08-22,207.8125
500000097,30,MB-1033,3499.12,5,2018-08-22,699.824
500000097,40,MB-1031,567.88,9,2018-08-22,63.09777777777778
500000097,50,BX-1015,261.62,10,2018-08-22,26.162
500000097,60,HB-1171,611.62,4,2018-08-22,152.905
500000098,10,EB-1133,1968.75,10,2018-08-29,196.875
500000098,20,MB-1033,3499.12,1,2018-08-29,3499.12
500000098,30,BX-1013,392.88,9,2018-08-29,43.653333333333336
500000098,40,BX-1015,261.62,9,2018-08-29,29.06888888888889
500000098,50,CB-1163,252.0,3,2018-08-29,84.0
500000098,60,RC-1051,2186.62,8,2018-08-29,273.3275
500000098,70,EB-1136,4375.0,8,2018-08-29,546.875
500000098,80,EB-1132,1662.5,5,2018-08-29,332.5
500000098,90,CC-1023,1190.88,2,2018-08-29,595.44
500000098,100,HB-1173,567.88,5,2018-08-29,113.576
500000099,10,CC-1023,1190.88,7,2018-08-06,170.1257142857143
500000099,20,EB-1135,2625.0,7,2018-08-06,375.0
500000099,30,CB-1162,350.0,4,2018-08-06,87.5
500000099,40,CC-1021,1001.0,8,2018-08-06,125.125
500000100,10,CB-1161,349.12,9,2018-08-08,38.791111111111114
500000100,20,HB-1171,611.62,3,2018-08-08,203.87333333333333
500000100,30,CB-1163,252.0,4,2018-08-08,63.0
500000100,40,CC-1022,1050.0,6,2018-08-08,175.0
500000100,50,CC-1023,1190.88,1,2018-08-08,1190.88
500000100,60,RO-1002,602.88,5,2018-08-08,120.576
500000100,70,DB-1083,1049.12,8,2018-08-08,131.14
500000100,80,RC-1054,4811.62,2,2018-08-08,2405.81
500000100,90,EB-1134,4200.0,2,2018-08-08,2100.0
500000100,100,BX-1014,699.12,6,2018-08-08,116.52
500000101,10,RO-1003,630.88,3,2018-07-31,210.29333333333332
500000101,20,RC-1056,2186.62,6,2018-07-31,364.43666666666667
500000101,30,CC-1021,1001.0,4,2018-07-31,250.25
500000101,40,RO-1001,459.38,9,2018-07-31,51.04222222222222
500000101,50,HB-1176,1049.12,5,2018-07-31,209.82399999999998
500000101,60,CB-1162,350.0,6,2018-07-31,58.333333333333336
500000101,70,DB-1083,1049.12,9,2018-07-31,116.56888888888888
500000101,80,BX-1016,279.12,3,2018-07-31,93.04
500000102,10,BX-1014,699.12,9,2018-08-28,77.68
500000103,10,CC-1021,1001.0,4,2018-08-09,250.25
500000103,20,RO-1001,459.38,8,2018-08-09,57.4225
500000103,30,RC-1057,4374.12,7,2018-08-09,624.8742857142857
500000103,40,CC-1022,1050.0,6,2018-08-09,175.0
500000103,50,BX-1011,217.88,8,2018-08-09,27.235
500000103,60,RC-1053,4024.12,6,2018-08-09,670.6866666666666
500000103,70,BX-1011,217.88,1,2018-08-09,217.88
500000103,80,HB-1173,567.88,6,2018-08-09,94.64666666666666
500000103,90,MB-1033,3499.12,3,2018-08-09,1166.3733333333332
500000104,10,RO-1001,459.38,1,2018-09-02,459.38
500000104,20,MB-1034,2186.62,5,2018-09-02,437.32399999999996
500000104,30,BX-1013,392.88,10,2018-09-02,39.288
500000105,10,RC-1052,3499.12,10,2018-08-20,349.912
500000105,20,HB-1172,699.12,9,2018-08-20,77.68
500000105,30,MB-1033,3499.12,2,2018-08-20,1749.56
500000106,10,RO-1003,630.88,7,2018-08-10,90.12571428571428
500000106,20,DB-1081,1311.62,3,2018-08-10,437.20666666666665
500000106,30,DB-1081,1311.62,3,2018-08-10,437.20666666666665
500000106,40,EB-1135,2625.0,6,2018-08-10,437.5
500000106,50,HB-1174,331.62,7,2018-08-10,47.37428571428571
500000106,60,CC-1022,1050.0,8,2018-08-10,131.25
500000107,10,RC-1051,2186.62,8,2018-08-22,273.3275
500000107,20,DB-1082,1093.75,1,2018-08-22,1093.75
500000107,30,RO-1002,602.88,5,2018-08-22,120.576
500000107,40,EB-1135,2625.0,10,2018-08-22,262.5
500000107,50,RC-1057,4374.12,3,2018-08-22,1458.04
500000107,60,BX-1013,392.88,8,2018-08-22,49.11
500000107,70,BX-1016,279.12,2,2018-08-22,139.56
500000107,80,BX-1015,261.62,3,2018-08-22,87.20666666666666
500000107,90,RC-1055,1749.12,6,2018-08-22,291.52
500000108,10,MB-1032,1136.62,7,2018-08-23,162.3742857142857
500000108,20,BX-1014,699.12,7,2018-08-23,99.87428571428572
500000108,30,BX-1013,392.88,8,2018-08-23,49.11
500000108,40,BX-1012,349.12,4,2018-08-23,87.28
500000108,50,BX-1015,261.62,1,2018-08-23,261.62
500000108,60,MB-1034,2186.62,4,2018-08-23,546.655
500000108,70,HB-1172,699.12,2,2018-08-23,349.56
500000108,80,RC-1055,1749.12,4,2018-08-23,437.28
500000108,90,CC-1023,1190.88,10,2018-08-23,119.08800000000001
500000108,100,EB-1133,1968.75,1,2018-08-23,1968.75
500000109,10,RC-1054,4811.62,6,2018-09-11,801.9366666666666
500000109,20,RC-1054,4811.62,4,2018-09-11,1202.905
500000110,10,EB-1134,4200.0,7,2018-08-29,600.0
500000110,20,RC-1056,2186.62,3,2018-08-29,728.8733333333333
500000110,30,MB-1033,3499.12,6,2018-08-29,583.1866666666666
500000111,10,CB-1163,252.0,10,2018-08-24,25.2
500000111,20,BX-1011,217.88,8,2018-08-24,27.235
500000111,30,EB-1134,4200.0,2,2018-08-24,2100.0
500000111,40,RC-1055,1749.12,8,2018-08-24,218.64
500000112,10,HB-1173,567.88,10,,56.788
500000112,20,DB-1082,1093.75,7,,156.25
500000112,30,BX-1013,392.88,5,,78.576
500000112,40,DB-1082,1093.75,5,,218.75
500000112,50,RC-1054,4811.62,2,,2405.81
500000112,60,MB-1033,3499.12,4,,874.78
500000112,70,CB-1163,252.0,7,,36.0
500000112,80,EB-1134,4200.0,1,,4200.0
500000112,90,CC-1023,1190.88,3,,396.96000000000004
500000112,100,CB-1163,252.0,2,,126.0
500000113,10,RC-1057,4374.12,10,2018-09-03,437.412
500000113,20,BX-1013,392.88,7,2018-09-03,56.12571428571429
500000113,30,RC-1052,3499.12,7,2018-09-03,499.8742857142857
500000113,40,CB-1161,349.12,3,2018-09-03,116.37333333333333
500000113,50,RC-1057,4374.12,2,2018-09-03,2187.06
500000113,60,EB-1135,2625.0,5,2018-09-03,525.0
500000114,10,DB-1082,1093.75,5,2018-09-02,218.75
500000114,20,RO-1003,630.88,10,2018-09-02,63.088
500000114,30,BX-1013,392.88,3,2018-09-02,130.96
500000115,10,RC-1054,4811.62,10,2018-08-29,481.162
500000115,20,CC-1021,1001.0,3,2018-08-29,333.6666666666667
500000115,30,EB-1134,4200.0,3,2018-08-29,1400.0
500000115,40,BX-1016,279.12,9,2018-08-29,31.013333333333335
500000116,10,HB-1173,567.88,4,2018-09-13,141.97
500000116,20,BX-1013,392.88,4,2018-09-13,98.22
500000117,10,MB-1034,2186.62,5,2018-09-09,437.32399999999996
500000118,10,MB-1031,567.88,3,2018-09-17,189.29333333333332
500000118,20,BX-1015,261.62,4,2018-09-17,65.405
500000118,30,BX-1013,392.88,1,2018-09-17,392.88
500000118,40,RC-1056,2186.62,7,2018-09-17,312.3742857142857
500000118,50,MB-1031,567.88,8,2018-09-17,70.985
500000118,60,CC-1023,1190.88,10,2018-09-17,119.08800000000001
500000118,70,HB-1172,699.12,8,2018-09-17,87.39
500000118,80,EB-1131,1312.5,3,2018-09-17,437.5
500000118,90,CC-1023,1190.88,5,2018-09-17,238.17600000000002
500000118,100,EB-1135,2625.0,3,2018-09-17,875.0
500000119,10,RC-1055,1749.12,2,2018-09-08,874.56
500000119,20,RC-1051,2186.62,7,2018-09-08,312.3742857142857
500000119,30,BX-1014,699.12,1,2018-09-08,699.12
500000119,40,EB-1132,1662.5,8,2018-09-08,207.8125
500000119,50,CB-1163,252.0,7,2018-09-08,36.0
500000119,60,RC-1053,4024.12,7,2018-09-08,574.8742857142857
500000120,10,RC-1053,4024.12,8,2018-09-20,503.015
500000120,20,RC-1052,3499.12,1,2018-09-20,3499.12
500000120,30,RO-1003,630.88,1,2018-09-20,630.88
500000120,40,RC-1057,4374.12,6,2018-09-20,729.02
500000120,50,RC-1055,1749.12,5,2018-09-20,349.82399999999996
500000121,10,HB-1172,699.12,2,2018-09-30,349.56
500000121,20,BX-1012,349.12,1,2018-09-30,349.12
500000121,30,BX-1016,279.12,4,2018-09-30,69.78
500000121,40,CC-1022,1050.0,3,2018-09-30,350.0
500000121,50,EB-1136,4375.0,8,2018-09-30,546.875
500000121,60,HB-1176,1049.12,7,2018-09-30,149.8742857142857
500000122,10,CB-1163,252.0,8,2018-09-21,31.5
500000122,20,HB-1174,331.62,1,2018-09-21,331.62
500000122,30,RC-1052,3499.12,2,2018-09-21,1749.56
500000122,40,DB-1081,1311.62,8,2018-09-21,163.9525
500000122,50,HB-1171,611.62,1,2018-09-21,611.62
500000122,60,DB-1082,1093.75,2,2018-09-21,546.875
500000122,70,RO-1003,630.88,3,2018-09-21,210.29333333333332
500000122,80,BX-1012,349.12,7,2018-09-21,49.87428571428571
500000122,90,BX-1013,392.88,10,2018-09-21,39.288
500000123,10,BX-1015,261.62,9,2018-09-20,29.06888888888889
500000123,20,DB-1081,1311.62,4,2018-09-20,327.905
500000123,30,MB-1033,3499.12,1,2018-09-20,3499.12
500000123,40,BX-1015,261.62,2,2018-09-20,130.81
500000123,50,EB-1131,1312.5,3,2018-09-20,437.5
500000123,60,CC-1022,1050.0,8,2018-09-20,131.25
500000123,70,MB-1031,567.88,7,2018-09-20,81.12571428571428
500000123,80,MB-1033,3499.12,3,2018-09-20,1166.3733333333332
500000124,10,RC-1051,2186.62,6,2018-09-14,364.43666666666667
500000124,20,EB-1134,4200.0,1,2018-09-14,4200.0
500000124,30,DB-1081,1311.62,5,2018-09-14,262.32399999999996
500000124,40,DB-1082,1093.75,10,2018-09-14,109.375
500000124,50,EB-1131,1312.5,6,2018-09-14,218.75
500000124,60,EB-1133,1968.75,10,2018-09-14,196.875
500000125,10,HB-1176,1049.12,2,2018-09-27,524.56
500000125,20,CB-1162,350.0,7,2018-09-27,50.0
500000125,30,EB-1134,4200.0,3,2018-09-27,1400.0
500000125,40,MB-1034,2186.62,5,2018-09-27,437.32399999999996
500000126,10,EB-1137,6912.5,8,2018-10-07,864.0625
500000126,20,RO-1003,630.88,10,2018-10-07,63.088
500000126,30,BX-1013,392.88,5,2018-10-07,78.576
500000126,40,RC-1052,3499.12,10,2018-10-07,349.912
500000126,50,EB-1137,6912.5,8,2018-10-07,864.0625
500000126,60,EB-1131,1312.5,8,2018-10-07,164.0625
500000126,70,HB-1174,331.62,2,2018-10-07,165.81
500000126,80,BX-1011,217.88,9,2018-10-07,24.20888888888889
500000126,90,BX-1013,392.88,7,2018-10-07,56.12571428571429
500000127,10,DB-1083,1049.12,5,2018-09-06,209.82399999999998
500000127,20,RC-1053,4024.12,10,2018-09-06,402.412
500000128,10,CC-1023,1190.88,2,2018-09-26,595.44
500000128,20,DB-1083,1049.12,8,2018-09-26,131.14
500000128,30,DB-1081,1311.62,8,2018-09-26,163.9525
500000128,40,DB-1082,1093.75,1,2018-09-26,1093.75
500000128,50,CC-1021,1001.0,1,2018-09-26,1001.0
500000128,60,BX-1014,699.12,3,2018-09-26,233.04
500000129,10,CB-1161,349.12,10,2018-10-07,34.912
500000129,20,RC-1053,4024.12,6,2018-10-07,670.6866666666666
500000129,30,CC-1021,1001.0,6,2018-10-07,166.83333333333334
500000129,40,CB-1161,349.12,1,2018-10-07,349.12
500000129,50,EB-1137,6912.5,9,2018-10-07,768.0555555555555
500000130,10,EB-1131,1312.5,4,2018-10-09,328.125
500000130,20,MB-1033,3499.12,2,2018-10-09,1749.56
500000130,30,RC-1055,1749.12,2,2018-10-09,874.56
500000130,40,MB-1034,2186.62,5,2018-10-09,437.32399999999996
500000130,50,HB-1176,1049.12,3,2018-10-09,349.70666666666665
500000130,60,EB-1136,4375.0,8,2018-10-09,546.875
500000130,70,BX-1012,349.12,6,2018-10-09,58.18666666666667
500000130,80,CB-1163,252.0,8,2018-10-09,31.5
500000130,90,MB-1033,3499.12,8,2018-10-09,437.39
500000131,10,DB-1081,1311.62,9,2018-10-10,145.73555555555555
500000131,20,MB-1031,567.88,2,2018-10-10,283.94
500000131,30,RC-1054,4811.62,9,2018-10-10,534.6244444444444
500000131,40,CB-1163,252.0,6,2018-10-10,42.0
500000131,50,HB-1174,331.62,4,2018-10-10,82.905
500000131,60,RO-1001,459.38,7,2018-10-10,65.62571428571428
500000131,70,EB-1132,1662.5,5,2018-10-10,332.5
500000131,80,EB-1131,1312.5,2,2018-10-10,656.25
500000131,90,BX-1015,261.62,10,2018-10-10,26.162
500000132,10,DB-1081,1311.62,5,2018-10-06,262.32399999999996
500000132,20,RC-1057,4374.12,2,2018-10-06,2187.06
500000133,10,DB-1083,1049.12,2,2018-10-16,524.56
500000133,20,RO-1003,630.88,5,2018-10-16,126.176
500000134,10,DB-1081,1311.62,2,2018-10-14,655.81
500000134,20,EB-1136,4375.0,4,2018-10-14,1093.75
500000134,30,CC-1023,1190.88,6,2018-10-14,198.48000000000002
500000134,40,BX-1013,392.88,5,2018-10-14,78.576
500000135,10,EB-1137,6912.5,9,2018-10-14,768.0555555555555
500000135,20,RC-1051,2186.62,9,2018-10-14,242.95777777777778
500000135,30,RC-1055,1749.12,4,2018-10-14,437.28
500000135,40,RC-1053,4024.12,1,2018-10-14,4024.12
500000135,50,HB-1173,567.88,7,2018-10-14,81.12571428571428
500000135,60,DB-1083,1049.12,6,2018-10-14,174.85333333333332
500000135,70,MB-1032,1136.62,3,2018-10-14,378.8733333333333
500000135,80,RO-1001,459.38,3,2018-10-14,153.12666666666667
500000135,90,MB-1033,3499.12,2,2018-10-14,1749.56
500000136,10,BX-1013,392.88,9,2018-10-04,43.653333333333336
500000136,20,EB-1134,4200.0,2,2018-10-04,2100.0
500000136,30,EB-1134,4200.0,4,2018-10-04,1050.0
500000136,40,HB-1175,786.62,3,2018-10-04,262.20666666666665
500000136,50,BX-1012,349.12,2,2018-10-04,174.56
500000136,60,BX-1011,217.88,10,2018-10-04,21.788
500000136,70,HB-1175,786.62,10,2018-10-04,78.662
500000137,10,BX-1015,261.62,10,2018-10-16,26.162
500000137,20,HB-1172,699.12,4,2018-10-16,174.78
500000137,30,CB-1162,350.0,1,2018-10-16,350.0
500000137,40,HB-1174,331.62,4,2018-10-16,82.905
500000137,50,MB-1034,2186.62,2,2018-10-16,1093.31
500000137,60,RO-1001,459.38,10,2018-10-16,45.938
500000137,70,CC-1023,1190.88,7,2018-10-16,170.1257142857143
500000137,80,RC-1054,4811.62,5,2018-10-16,962.324
500000138,10,BX-1015,261.62,3,2018-10-06,87.20666666666666
500000138,20,HB-1173,567.88,1,2018-10-06,567.88
500000138,30,RC-1056,2186.62,10,2018-10-06,218.66199999999998
500000138,40,DB-1083,1049.12,10,2018-10-06,104.91199999999999
500000138,50,EB-1135,2625.0,10,2018-10-06,262.5
500000138,60,CB-1163,252.0,4,2018-10-06,63.0
500000138,70,CB-1162,350.0,7,2018-10-06,50.0
500000138,80,CC-1021,1001.0,7,2018-10-06,143.0
500000138,90,BX-1013,392.88,3,2018-10-06,130.96
500000139,10,RC-1053,4024.12,10,2018-10-13,402.412
500000139,20,BX-1016,279.12,6,2018-10-13,46.52
500000139,30,HB-1171,611.62,1,2018-10-13,611.62
500000139,40,HB-1171,611.62,1,2018-10-13,611.62
500000139,50,HB-1174,331.62,6,2018-10-13,55.27
500000140,10,RC-1055,1749.12,6,2018-10-23,291.52
500000140,20,EB-1136,4375.0,5,2018-10-23,875.0
500000140,30,BX-1013,392.88,3,2018-10-23,130.96
500000140,40,RC-1057,4374.12,6,2018-10-23,729.02
500000140,50,HB-1176,1049.12,5,2018-10-23,209.82399999999998
500000140,60,HB-1176,1049.12,7,2018-10-23,149.8742857142857
500000140,70,HB-1171,611.62,2,2018-10-23,305.81
500000140,80,EB-1133,1968.75,7,2018-10-23,281.25
500000141,10,HB-1175,786.62,6,2018-10-17,131.10333333333332
500000141,20,HB-1175,786.62,9,2018-10-17,87.40222222222222
500000141,30,HB-1174,331.62,2,2018-10-17,165.81
500000141,40,BX-1014,699.12,2,2018-10-17,349.56
500000141,50,RO-1002,602.88,10,2018-10-17,60.288
500000141,60,CB-1161,349.12,6,2018-10-17,58.18666666666667
500000141,70,DB-1082,1093.75,4,2018-10-17,273.4375
500000141,80,BX-1014,699.12,7,2018-10-17,99.87428571428572
500000141,90,HB-1175,786.62,9,2018-10-17,87.40222222222222
500000141,100,MB-1031,567.88,6,2018-10-17,94.64666666666666
500000142,10,MB-1034,2186.62,6,2018-10-15,364.43666666666667
500000142,20,EB-1132,1662.5,9,2018-10-15,184.72222222222223
500000142,30,BX-1013,392.88,4,2018-10-15,98.22
500000143,10,RO-1001,459.38,6,2018-11-03,76.56333333333333
500000143,20,RC-1054,4811.62,3,2018-11-03,1603.8733333333332
500000143,30,HB-1174,331.62,4,2018-11-03,82.905
500000143,40,HB-1171,611.62,1,2018-11-03,611.62
500000144,10,CB-1161,349.12,9,2018-10-26,38.791111111111114
500000144,20,RC-1051,2186.62,9,2018-10-26,242.95777777777778
500000144,30,DB-1081,1311.62,7,2018-10-26,187.3742857142857
500000144,40,EB-1135,2625.0,3,2018-10-26,875.0
500000144,50,RC-1053,4024.12,1,2018-10-26,4024.12
500000144,60,MB-1032,1136.62,8,2018-10-26,142.0775
500000145,10,HB-1174,331.62,7,2018-10-13,47.37428571428571
500000145,20,HB-1174,331.62,5,2018-10-13,66.324
500000145,30,MB-1033,3499.12,9,2018-10-13,388.7911111111111
500000146,10,MB-1033,3499.12,6,2018-10-23,583.1866666666666
500000146,20,RC-1051,2186.62,6,2018-10-23,364.43666666666667
500000146,30,CB-1163,252.0,10,2018-10-23,25.2
500000146,40,RC-1055,1749.12,10,2018-10-23,174.91199999999998
500000146,50,EB-1134,4200.0,4,2018-10-23,1050.0
500000146,60,BX-1015,261.62,5,2018-10-23,52.324
500000146,70,CC-1021,1001.0,6,2018-10-23,166.83333333333334
500000146,80,BX-1014,699.12,1,2018-10-23,699.12
500000147,10,EB-1137,6912.5,2,2018-10-10,3456.25
500000147,20,MB-1032,1136.62,3,2018-10-10,378.8733333333333
500000147,30,RC-1055,1749.12,1,2018-10-10,1749.12
500000147,40,CB-1162,350.0,2,2018-10-10,175.0
500000147,50,EB-1131,1312.5,5,2018-10-10,262.5
500000147,60,RC-1053,4024.12,3,2018-10-10,1341.3733333333332
500000147,70,DB-1082,1093.75,1,2018-10-10,1093.75
500000148,10,BX-1015,261.62,9,2018-10-13,29.06888888888889
500000148,20,RC-1051,2186.62,8,2018-10-13,273.3275
500000148,30,MB-1034,2186.62,2,2018-10-13,1093.31
500000148,40,BX-1015,261.62,2,2018-10-13,130.81
500000148,50,EB-1135,2625.0,9,2018-10-13,291.6666666666667
500000148,60,EB-1137,6912.5,5,2018-10-13,1382.5
500000148,70,MB-1031,567.88,7,2018-10-13,81.12571428571428
500000148,80,DB-1083,1049.12,8,2018-10-13,131.14
500000148,90,BX-1013,392.88,2,2018-10-13,196.44
500000149,10,EB-1131,1312.5,9,2018-10-20,145.83333333333334
500000149,20,EB-1132,1662.5,2,2018-10-20,831.25
500000149,30,CB-1161,349.12,9,2018-10-20,38.791111111111114
500000149,40,MB-1033,3499.12,4,2018-10-20,874.78
500000149,50,CC-1022,1050.0,9,2018-10-20,116.66666666666667
500000149,60,EB-1136,4375.0,3,2018-10-20,1458.3333333333333
500000150,10,HB-1175,786.62,4,2018-11-13,196.655
500000150,20,RO-1001,459.38,10,2018-11-13,45.938
500000150,30,RC-1055,1749.12,1,2018-11-13,1749.12
500000150,40,BX-1015,261.62,9,2018-11-13,29.06888888888889
500000150,50,BX-1015,261.62,2,2018-11-13,130.81
500000150,60,CB-1163,252.0,9,2018-11-13,28.0
500000150,70,RO-1001,459.38,9,2018-11-13,51.04222222222222
500000150,80,DB-1082,1093.75,9,2018-11-13,121.52777777777777
500000150,90,MB-1033,3499.12,10,2018-11-13,349.912
500000151,10,RO-1003,630.88,4,2018-10-31,157.72
500000151,20,DB-1083,1049.12,10,2018-10-31,104.91199999999999
500000152,10,CC-1023,1190.88,10,2018-11-08,119.08800000000001
500000152,20,HB-1175,786.62,7,2018-11-08,112.37428571428572
500000152,30,BX-1013,392.88,6,2018-11-08,65.48
500000152,40,MB-1032,1136.62,5,2018-11-08,227.32399999999998
500000152,50,RO-1001,459.38,10,2018-11-08,45.938
500000152,60,MB-1031,567.88,7,2018-11-08,81.12571428571428
500000152,70,CB-1162,350.0,2,2018-11-08,175.0
500000152,80,EB-1131,1312.5,7,2018-11-08,187.5
500000152,90,CC-1023,1190.88,9,2018-11-08,132.32000000000002
500000152,100,RC-1055,1749.12,1,2018-11-08,1749.12
500000153,10,CC-1023,1190.88,7,2018-11-06,170.1257142857143
500000153,20,EB-1132,1662.5,10,2018-11-06,166.25
500000153,30,MB-1034,2186.62,3,2018-11-06,728.8733333333333
500000153,40,HB-1172,699.12,8,2018-11-06,87.39
500000153,50,HB-1171,611.62,9,2018-11-06,67.95777777777778
500000153,60,CC-1021,1001.0,6,2018-11-06,166.83333333333334
500000153,70,DB-1081,1311.62,4,2018-11-06,327.905
500000153,80,EB-1135,2625.0,2,2018-11-06,1312.5
500000153,90,BX-1011,217.88,2,2018-11-06,108.94
500000153,100,CB-1162,350.0,3,2018-11-06,116.66666666666667
500000154,10,BX-1011,217.88,1,2018-10-28,217.88
500000154,20,RC-1057,4374.12,10,2018-10-28,437.412
500000154,30,BX-1013,392.88,10,2018-10-28,39.288
500000154,40,DB-1081,1311.62,1,2018-10-28,1311.62
500000154,50,EB-1137,6912.5,1,2018-10-28,6912.5
500000154,60,BX-1014,699.12,10,2018-10-28,69.912
500000154,70,MB-1034,2186.62,5,2018-10-28,437.32399999999996
500000154,80,RO-1003,630.88,10,2018-10-28,63.088
500000154,90,CC-1023,1190.88,9,2018-10-28,132.32000000000002
500000154,100,RC-1055,1749.12,10,2018-10-28,174.91199999999998
500000155,10,BX-1016,279.12,9,2018-11-14,31.013333333333335
500000155,20,BX-1014,699.12,4,2018-11-14,174.78
500000155,30,EB-1134,4200.0,10,2018-11-14,420.0
500000155,40,RC-1052,3499.12,4,2018-11-14,874.78
500000156,10,RC-1056,2186.62,10,2018-11-14,218.66199999999998
500000156,20,CB-1161,349.12,2,2018-11-14,174.56
500000156,30,EB-1134,4200.0,1,2018-11-14,4200.0
500000156,40,EB-1135,2625.0,9,2018-11-14,291.6666666666667
