PRODUCTID,PRICE_UNITARIO,QUANTITY,DELIVERYDATE
MB-1034,2499,6,2018-10-15
EB-1132,1900,9,2018-10-15
BX-1013,449,4,2018-10-15
RO-1001,525,6,2018-11-03
RC-1054,5499,3,2018-11-03
HB-1174,379,4,2018-11-03
HB-1171,699,1,2018-11-03
CB-1161,399,9,2018-10-26
RC-1051,2499,9,2018-10-26
DB-1081,1499,7,2018-10-26
EB-1135,3000,3,2018-10-26
RC-1053,4599,1,2018-10-26
MB-1032,1299,8,2018-10-26
HB-1174,379,7,2018-10-13
HB-1174,379,5,2018-10-13
MB-1033,3999,9,2018-10-13
MB-1033,3999,6,2018-10-23
RC-1051,2499,6,2018-10-23
CB-1163,288,10,2018-10-23
RC-1055,1999,10,2018-10-23
EB-1134,4800,4,2018-10-23
BX-1015,299,5,2018-10-23
CC-1021,1144,6,2018-10-23
BX-1014,799,1,2018-10-23
EB-1137,7900,2,2018-10-10
MB-1032,1299,3,2018-10-10
RC-1055,1999,1,2018-10-10
CB-1162,400,2,2018-10-10
EB-1131,1500,5,2018-10-10
RC-1053,4599,3,2018-10-10
DB-1082,1250,1,2018-10-10
BX-1015,299,9,2018-10-13
RC-1051,2499,8,2018-10-13
MB-1034,2499,2,2018-10-13
BX-1015,299,2,2018-10-13
EB-1135,3000,9,2018-10-13
EB-1137,7900,5,2018-10-13
MB-1031,649,7,2018-10-13
DB-1083,1199,8,2018-10-13
BX-1013,449,2,2018-10-13
EB-1131,1500,9,2018-10-20
EB-1132,1900,2,2018-10-20
CB-1161,399,9,2018-10-20
MB-1033,3999,4,2018-10-20
CC-1022,1200,9,2018-10-20
EB-1136,5000,3,2018-10-20
HB-1175,899,4,2018-11-13
RO-1001,525,10,2018-11-13
RC-1055,1999,1,2018-11-13
BX-1015,299,9,2018-11-13
BX-1015,299,2,2018-11-13
CB-1163,288,9,2018-11-13
RO-1001,525,9,2018-11-13
DB-1082,1250,9,2018-11-13
MB-1033,3999,10,2018-11-13
RO-1003,721,4,2018-10-31
DB-1083,1199,10,2018-10-31
CC-1023,1361,10,2018-11-08
HB-1175,899,7,2018-11-08
BX-1013,449,6,2018-11-08
MB-1032,1299,5,2018-11-08
RO-1001,525,10,2018-11-08
MB-1031,649,7,2018-11-08
CB-1162,400,2,2018-11-08
EB-1131,1500,7,2018-11-08
CC-1023,1361,9,2018-11-08
RC-1055,1999,1,2018-11-08
CC-1023,1361,7,2018-11-06
EB-1132,1900,10,2018-11-06
MB-1034,2499,3,2018-11-06
HB-1172,799,8,2018-11-06
HB-1171,699,9,2018-11-06
CC-1021,1144,6,2018-11-06
DB-1081,1499,4,2018-11-06
EB-1135,3000,2,2018-11-06
BX-1011,249,2,2018-11-06
CB-1162,400,3,2018-11-06
BX-1011,249,1,2018-10-28
RC-1057,4999,10,2018-10-28
BX-1013,449,10,2018-10-28
DB-1081,1499,1,2018-10-28
EB-1137,7900,1,2018-10-28
BX-1014,799,10,2018-10-28
MB-1034,2499,5,2018-10-28
RO-1003,721,10,2018-10-28
CC-1023,1361,9,2018-10-28
RC-1055,1999,10,2018-10-28
BX-1016,319,9,2018-11-14
BX-1014,799,4,2018-11-14
EB-1134,4800,10,2018-11-14
RC-1052,3999,4,2018-11-14
RC-1056,2499,10,2018-11-14
CB-1161,399,2,2018-11-14
EB-1134,4800,1,2018-11-14
EB-1135,3000,9,2018-11-14
CC-1023,1361,4,2018-11-14
EB-1136,5000,8,2018-11-14
CC-1021,1144,5,2018-11-14
EB-1132,1900,7,2018-11-10
HB-1171,699,6,2018-11-10
DB-1082,1250,10,2018-11-10
BX-1011,249,10,2018-11-10
RC-1052,3999,5,2018-11-10
MB-1033,3999,8,2018-11-10
HB-1173,649,9,2018-11-10
EB-1132,1900,5,2018-11-10
RO-1001,525,8,2018-11-10
BX-1013,449,3,2018-11-10
MB-1033,3999,7,2018-11-07
RC-1055,1999,4,2018-11-07
CC-1023,1361,3,2018-11-07
RC-1057,4999,8,2018-11-07
BX-1011,249,7,2018-11-03
CC-1023,1361,8,2018-11-03
EB-1137,7900,5,2018-11-03
CB-1161,399,1,2018-11-26
DB-1083,1199,6,2018-11-26
EB-1134,4800,9,2018-11-26
RO-1001,525,7,2018-11-26
HB-1176,1199,5,2018-11-11
MB-1031,649,6,2018-11-11
RC-1054,5499,2,2018-11-16
RC-1056,2499,7,2018-11-16
BX-1013,449,2,2018-11-16
MB-1034,2499,8,2018-11-26
EB-1133,2250,3,2018-11-26
BX-1016,319,6,2018-11-26
HB-1173,649,3,2018-11-26
EB-1135,3000,5,2018-11-26
HB-1173,649,6,2018-11-26
DB-1083,1199,8,2018-11-26
MB-1031,649,3,2018-12-03
EB-1134,4800,9,2018-12-03
RC-1055,1999,6,2018-12-03
BX-1015,299,2,2018-12-03
RC-1052,3999,3,2018-12-03
HB-1173,649,4,2018-12-03
CB-1161,399,1,2018-12-03
EB-1133,2250,7,2018-12-03
MB-1033,3999,6,2018-12-03
CC-1021,1144,2,2018-12-07
BX-1012,399,1,2018-12-07
DB-1081,1499,8,2018-12-07
RC-1054,5499,10,2018-12-07
EB-1134,4800,1,2018-12-07
HB-1173,649,4,2018-12-07
MB-1034,2499,8,2018-11-13
DB-1083,1199,3,2018-11-13
HB-1175,899,8,2018-12-05
EB-1137,7900,7,2018-12-05
EB-1134,4800,8,2018-12-05
HB-1176,1199,9,2018-12-05
BX-1013,449,2,2018-12-05
CC-1022,1200,8,2018-12-05
BX-1013,449,9,2018-12-05
BX-1011,249,5,2018-12-11
HB-1173,649,3,2018-11-24
BX-1011,249,1,2018-11-24
EB-1134,4800,5,2018-11-24
EB-1134,4800,7,2018-11-24
RC-1052,3999,10,2018-11-25
BX-1011,249,2,2018-11-25
BX-1014,799,3,2018-11-25
CB-1163,288,7,2018-11-25
HB-1175,899,2,2018-11-25
HB-1171,699,4,2018-11-25
EB-1137,7900,8,2018-11-25
BX-1013,449,8,2018-11-25
RC-1057,4999,7,2018-11-25
BX-1015,299,9,2018-11-25
DB-1082,1250,8,2018-12-14
BX-1011,249,7,2018-12-14
EB-1134,4800,9,2018-12-14
RC-1055,1999,7,2018-12-14
RC-1057,4999,8,2018-12-14
BX-1015,299,7,2018-12-14
HB-1175,899,1,2018-12-14
HB-1171,699,10,2018-12-14
BX-1013,449,4,2018-12-14
RC-1053,4599,1,2018-12-03
RC-1055,1999,6,2018-12-03
EB-1132,1900,2,2018-12-03
BX-1016,319,7,2018-12-03
EB-1131,1500,2,2018-12-03
MB-1031,649,5,2018-12-03
HB-1172,799,1,2018-11-26
RO-1003,721,5,2018-11-26
CB-1163,288,4,2018-11-26
RC-1052,3999,9,2018-11-26
RO-1002,689,3,2018-11-26
CB-1162,400,2,2018-11-26
CC-1023,1361,9,2018-11-26
EB-1137,7900,8,2018-11-26
RC-1052,3999,4,2018-12-11
EB-1137,7900,1,2018-12-11
RC-1052,3999,6,2018-12-11
EB-1134,4800,3,2018-12-11
DB-1082,1250,10,2018-12-11
EB-1136,5000,6,2018-12-11
EB-1131,1500,3,2018-11-30
RC-1056,2499,2,2018-11-30
CB-1163,288,1,2018-11-30
BX-1016,319,1,2018-11-30
RC-1057,4999,3,2018-11-30
RC-1056,2499,7,2018-11-30
BX-1014,799,4,2018-11-30
EB-1136,5000,1,2018-11-30
RC-1051,2499,5,2018-11-30
HB-1171,699,6,2018-11-30
DB-1083,1199,5,2018-11-30
HB-1175,899,8,2018-11-30
EB-1134,4800,3,2018-11-30
MB-1034,2499,10,2018-12-07
EB-1136,5000,10,2018-12-07
EB-1134,4800,10,2018-12-07
RC-1054,5499,7,2018-12-07
MB-1033,3999,1,2018-12-07
BX-1016,319,5,2018-12-07
MB-1031,649,10,2018-12-07
MB-1032,1299,6,2018-12-04
EB-1136,5000,3,2018-12-15
DB-1082,1250,7,2018-12-15
BX-1013,449,3,2018-12-15
RO-1003,721,7,2018-12-15
HB-1174,379,7,2018-12-15
MB-1033,3999,7,2018-12-15
EB-1136,5000,8,2018-12-15
CB-1161,399,10,2018-12-15
BX-1012,399,2,2018-11-27
DB-1082,1250,1,2018-11-27
DB-1083,1199,7,2018-11-27
CC-1022,1200,7,2018-11-27
BX-1015,299,4,2018-12-14
HB-1172,799,3,2018-12-14
BX-1013,449,10,2018-12-14
RC-1055,1999,1,2018-12-14
RC-1056,2499,5,2018-12-14
BX-1012,399,5,2018-12-14
DB-1082,1250,3,2018-12-14
CB-1163,288,6,2018-12-14
CC-1023,1361,5,2018-12-14
CB-1163,288,4,2018-12-14
HB-1174,379,3,2018-12-08
HB-1173,649,9,2018-12-08
EB-1134,4800,7,2018-12-08
CB-1163,288,5,2018-12-08
EB-1134,4800,8,2018-12-08
BX-1013,449,1,2018-12-08
MB-1032,1299,1,2018-12-08
RC-1052,3999,5,2018-12-03
MB-1032,1299,7,2018-12-03
CC-1023,1361,10,2018-12-03
EB-1132,1900,7,2018-12-03
EB-1131,1500,1,2018-12-04
CB-1161,399,6,2018-12-04
RC-1055,1999,3,2018-12-04
BX-1013,449,1,2018-12-04
EB-1135,3000,1,2018-12-04
EB-1131,1500,7,2018-12-04
CB-1161,399,9,2018-12-04
BX-1013,449,8,2018-12-04
MB-1033,3999,10,2018-12-04
CB-1163,288,6,2018-12-19
RC-1051,2499,7,2018-12-19
CC-1023,1361,9,2018-12-19
MB-1034,2499,6,2018-12-19
RO-1003,721,6,2019-01-02
RO-1001,525,5,2019-01-02
HB-1175,899,1,2018-12-17
BX-1016,319,3,2018-12-17
BX-1013,449,3,2018-12-17
BX-1015,299,9,2018-12-15
MB-1032,1299,1,2018-12-15
BX-1011,249,3,2018-12-27
BX-1014,799,10,2018-12-27
BX-1015,299,9,2018-12-23
RO-1003,721,2,2018-12-23
CB-1162,400,9,2018-12-23
EB-1131,1500,8,2018-12-23
RO-1003,721,2,2018-12-23
BX-1016,319,5,2018-12-23
HB-1171,699,7,2018-12-23
BX-1011,249,2,2018-12-23
CC-1021,1144,7,2019-01-01
EB-1137,7900,10,2019-01-01
RC-1052,3999,5,2019-01-01
MB-1033,3999,8,2019-01-01
HB-1173,649,2,2019-01-01
RC-1054,5499,4,2019-01-14
EB-1134,4800,4,2019-01-14
RC-1055,1999,10,2019-01-14
HB-1175,899,5,2019-01-14
DB-1083,1199,3,2019-01-14
CB-1163,288,5,2019-01-14
BX-1014,799,5,2019-01-14
RC-1056,2499,3,2019-01-14
HB-1176,1199,7,2019-01-15
EB-1136,5000,3,2018-12-21
EB-1131,1500,8,2018-12-21
EB-1137,7900,3,2018-12-21
EB-1131,1500,7,2018-12-21
DB-1082,1250,4,2018-12-21
RO-1002,689,4,2018-12-21
MB-1034,2499,1,2018-12-21
CB-1163,288,1,2018-12-27
RC-1057,4999,8,2018-12-27
BX-1013,449,9,2018-12-27
DB-1083,1199,1,2018-12-27
CB-1163,288,8,2018-12-27
RC-1056,2499,4,2018-12-27
BX-1012,399,9,2018-12-27
RO-1001,525,10,2018-12-27
CC-1023,1361,7,2018-12-27
BX-1013,449,7,2018-12-27
DB-1081,1499,4,2019-01-08
CB-1161,399,4,2018-12-28
RC-1056,2499,8,2018-12-28
EB-1134,4800,8,2018-12-28
HB-1172,799,6,2018-12-28
BX-1014,799,1,2018-12-28
BX-1015,299,4,2018-12-28
CC-1021,1144,2,2018-12-28
CC-1021,1144,3,2018-12-23
CC-1021,1144,9,2018-12-23
BX-1012,399,5,2019-01-08
HB-1171,699,8,2019-01-08
MB-1033,3999,7,2019-01-08
RC-1054,5499,4,2019-01-21
DB-1083,1199,4,2019-01-21
CB-1163,288,7,2019-01-21
BX-1015,299,9,2019-01-21
DB-1082,1250,5,2019-01-17
MB-1032,1299,5,2019-01-17
RC-1055,1999,4,2019-01-17
RC-1053,4599,8,2019-01-17
EB-1132,1900,9,2019-01-17
RO-1002,689,2,2019-01-17
BX-1011,249,6,2019-01-17
HB-1171,699,4,2019-01-17
BX-1013,449,4,2019-01-17
BX-1015,299,6,2019-01-18
CB-1161,399,5,2019-01-18
BX-1015,299,6,2019-01-18
EB-1133,2250,10,2019-01-18
MB-1032,1299,5,2019-01-18
RC-1056,2499,5,2019-01-18
HB-1176,1199,9,2019-01-18
DB-1081,1499,3,2018-12-26
DB-1083,1199,10,2018-12-26
DB-1081,1499,7,2018-12-26
CB-1161,399,10,2018-12-26
RC-1056,2499,3,2018-12-26
HB-1174,379,8,2018-12-26
RC-1057,4999,5,2019-01-22
HB-1175,899,6,2019-01-22
EB-1137,7900,5,2019-01-22
EB-1131,1500,8,2019-01-22
RC-1057,4999,8,2019-01-22
DB-1081,1499,2,2019-01-22
EB-1131,1500,2,2019-01-22
RC-1052,3999,5,2019-01-02
RO-1002,689,9,2019-01-02
RC-1052,3999,7,2019-01-02
EB-1137,7900,10,2019-01-02
HB-1174,379,3,2019-01-02
CC-1021,1144,3,2019-01-22
RC-1051,2499,4,2019-01-22
EB-1132,1900,7,2019-01-22
HB-1174,379,10,2019-01-22
BX-1014,799,9,2019-01-22
EB-1133,2250,9,2019-01-22
HB-1176,1199,4,2019-01-22
EB-1131,1500,3,2019-01-18
BX-1011,249,2,2019-01-18
DB-1081,1499,10,2019-01-18
HB-1172,799,7,2019-01-18
EB-1137,7900,6,2019-01-18
HB-1175,899,1,2019-01-18
RO-1003,721,7,2019-01-03
EB-1136,5000,3,2019-01-03
DB-1083,1199,6,2019-01-03
EB-1136,5000,6,2019-01-03
BX-1011,249,5,2019-01-03
HB-1172,799,6,2019-01-03
RO-1001,525,9,2019-01-03
RC-1051,2499,10,2019-01-03
EB-1135,3000,3,2019-01-09
BX-1015,299,2,2019-01-09
EB-1137,7900,4,2019-01-09
CB-1163,288,8,2019-01-09
BX-1016,319,7,2019-01-09
CB-1163,288,7,2019-01-09
RC-1055,1999,8,2019-01-09
RO-1001,525,9,2019-01-02
BX-1011,249,10,2019-01-02
BX-1016,319,9,2019-01-02
HB-1172,799,7,2019-01-02
EB-1132,1900,8,2019-01-02
MB-1032,1299,3,2019-01-02
CB-1162,400,5,2019-01-02
RO-1002,689,7,2019-01-02
HB-1176,1199,4,2019-01-13
EB-1132,1900,7,2019-01-13
RC-1052,3999,4,2019-01-13
EB-1132,1900,1,2019-01-13
RC-1054,5499,3,2019-01-13
CC-1023,1361,2,2019-02-05
RC-1057,4999,8,2019-02-05
HB-1174,379,8,2019-02-05
CB-1163,288,3,2019-02-05
MB-1034,2499,9,2019-02-05
EB-1134,4800,4,2019-02-03
MB-1031,649,2,2019-02-03
EB-1134,4800,6,2019-02-03
CC-1021,1144,9,2019-02-03
DB-1083,1199,2,2019-02-03
CC-1022,1200,9,2019-02-03
DB-1081,1499,4,2019-02-03
MB-1033,3999,4,2019-01-23
RO-1002,689,6,2019-01-23
CB-1163,288,2,2019-01-23
BX-1013,449,8,2019-01-23
HB-1174,379,2,2019-01-23
MB-1032,1299,7,2019-01-23
EB-1136,5000,5,2019-01-23
HB-1171,699,2,2019-01-23
EB-1134,4800,4,2019-01-23
MB-1034,2499,4,2019-01-23
EB-1137,7900,5,2019-01-15
MB-1033,3999,3,2019-01-15
DB-1082,1250,10,2019-01-15
BX-1016,319,3,2019-01-15
RO-1002,689,5,2019-01-15
HB-1171,699,7,2019-01-15
BX-1013,449,5,2019-01-15
RC-1056,2499,3,2019-01-15
BX-1013,449,1,2019-01-15
MB-1031,649,5,2019-01-25
HB-1175,899,6,2019-01-25
EB-1135,3000,7,2019-01-25
EB-1136,5000,10,2019-01-25
MB-1031,649,2,2019-01-20
RC-1057,4999,7,2019-01-20
EB-1134,4800,2,2019-01-20
RC-1051,2499,5,2019-01-20
MB-1031,649,8,2019-01-20
CC-1023,1361,4,2019-01-20
DB-1083,1199,7,2019-01-20
BX-1015,299,10,2019-01-19
DB-1081,1499,4,2019-01-19
BX-1011,249,9,2019-01-28
DB-1083,1199,4,2019-01-22
EB-1133,2250,5,2019-01-22
RC-1057,4999,6,2019-01-22
RO-1003,721,7,2019-01-22
CC-1023,1361,3,2019-01-22
BX-1012,399,8,2019-01-22
MB-1031,649,3,2019-01-22
CC-1021,1144,10,2019-01-22
HB-1173,649,2,2019-01-22
CC-1023,1361,3,2019-01-22
EB-1136,5000,10,2019-01-17
RO-1003,721,9,2019-01-17
BX-1013,449,3,2019-01-17
MB-1031,649,3,2019-01-17
BX-1012,399,7,2019-01-17
RC-1051,2499,3,2019-01-17
RC-1052,3999,10,2019-01-17
EB-1136,5000,4,2019-01-17
CC-1023,1361,1,2019-01-17
EB-1136,5000,5,2019-01-17
RO-1003,721,8,2019-01-19
RC-1054,5499,1,2019-01-19
HB-1173,649,5,2019-01-19
RC-1054,5499,3,2019-01-19
RO-1002,689,3,2019-01-19
BX-1011,249,5,2019-01-22
HB-1171,699,5,2019-01-22
RC-1052,3999,3,2019-01-22
BX-1014,799,3,2019-01-22
RO-1003,721,9,2019-01-22
RO-1002,689,1,2019-01-27
RC-1055,1999,8,2019-01-27
CB-1163,288,7,2019-01-27
RC-1055,1999,3,2019-01-27
RO-1003,721,4,2019-01-27
BX-1016,319,7,2019-01-27
CC-1021,1144,5,2019-01-27
BX-1014,799,10,2019-01-27
EB-1134,4800,7,2019-01-27
MB-1033,3999,9,2019-01-27
EB-1132,1900,3,2019-02-19
HB-1173,649,6,2019-02-19
BX-1013,449,1,2019-02-19
CC-1022,1200,8,2019-01-25
HB-1174,379,4,2019-02-12
RC-1055,1999,8,2019-02-12
RC-1052,3999,6,2019-02-12
DB-1083,1199,9,2019-02-12
EB-1132,1900,5,2019-02-12
BX-1015,299,2,2019-02-09
HB-1174,379,2,2019-02-09
CC-1021,1144,5,2019-01-28
BX-1011,249,8,2019-01-28
RC-1052,3999,6,2019-01-28
HB-1175,899,8,2019-01-28
EB-1136,5000,4,2019-01-28
CC-1022,1200,6,2019-01-28
HB-1174,379,1,2019-02-13
HB-1171,699,10,2019-02-13
MB-1032,1299,4,2019-02-13
BX-1012,399,1,2019-02-13
HB-1176,1199,10,2019-02-13
HB-1171,699,2,2019-02-13
RC-1055,1999,3,2019-02-13
CC-1023,1361,10,2019-02-13
HB-1172,799,10,2019-02-13
HB-1173,649,8,2019-02-02
MB-1032,1299,1,2019-02-02
BX-1013,449,6,2019-02-02
EB-1135,3000,2,2019-02-02
RO-1002,689,8,2019-02-02
CB-1163,288,1,2019-02-02
HB-1174,379,10,2019-02-02
HB-1171,699,2,2019-02-02
CC-1023,1361,5,2019-02-02
MB-1032,1299,8,2019-02-02
CB-1161,399,7,2019-02-18
RO-1002,689,5,2019-02-18
HB-1175,899,2,2019-02-18
EB-1134,4800,1,2019-02-18
EB-1136,5000,5,2019-02-13
CB-1161,399,2,2019-02-13
CB-1163,288,3,2019-02-13
CC-1023,1361,1,2019-02-13
HB-1174,379,6,2019-02-13
MB-1031,649,4,2019-02-13
RC-1054,5499,2,2019-02-13
RC-1052,3999,2,2019-02-13
CC-1021,1144,5,2019-02-18
BX-1015,299,5,2019-02-18
BX-1013,449,5,2019-02-18
BX-1011,249,4,2019-02-18
EB-1137,7900,6,2019-02-18
MB-1031,649,4,2019-02-18
EB-1131,1500,8,2019-02-18
DB-1082,1250,2,2019-02-18
DB-1081,1499,4,2019-03-04
DB-1081,1499,6,2019-03-04
CC-1022,1200,1,2019-03-04
EB-1135,3000,1,2019-03-04
RC-1053,4599,5,2019-03-04
RO-1003,721,9,2019-03-04
RO-1001,525,9,2019-03-04
EB-1136,5000,4,2019-03-04
BX-1013,449,7,2019-03-04
BX-1012,399,3,2019-02-11
RC-1055,1999,5,2019-02-11
RC-1057,4999,3,2019-02-11
HB-1173,649,8,2019-02-11
EB-1132,1900,2,2019-02-11
DB-1082,1250,7,2019-03-07
BX-1012,399,9,2019-03-07
MB-1033,3999,5,2019-03-07
HB-1174,379,5,2019-03-07
CB-1163,288,10,2019-03-07
RO-1003,721,1,2019-03-07
RO-1002,689,4,2019-03-07
RC-1054,5499,1,2019-03-07
BX-1013,449,7,2019-03-07
BX-1013,449,8,2019-03-10
DB-1081,1499,10,2019-03-10
HB-1171,699,10,2019-03-10
EB-1136,5000,2,2019-03-10
BX-1016,319,9,2019-03-10
CB-1162,400,10,2019-03-10
RC-1057,4999,6,2019-03-10
RC-1057,4999,5,2019-03-10
DB-1082,1250,1,2019-03-10
RC-1057,4999,7,2019-03-10
DB-1082,1250,9,2019-02-13
DB-1082,1250,5,2019-02-13
EB-1134,4800,7,2019-02-13
BX-1015,299,3,2019-02-13
MB-1031,649,10,2019-03-02
MB-1033,3999,10,2019-03-02
HB-1174,379,1,2019-03-02
RO-1002,689,9,2019-03-02
RC-1051,2499,5,2019-03-02
EB-1131,1500,7,2019-03-02
RC-1052,3999,9,2019-03-02
DB-1083,1199,4,2019-03-02
RC-1055,1999,1,2019-02-18
EB-1133,2250,3,2019-02-18
EB-1134,4800,3,2019-02-18
EB-1137,7900,8,2019-02-18
BX-1011,249,5,2019-02-18
RC-1054,5499,10,2019-02-18
RC-1054,5499,9,2019-02-18
RO-1001,525,9,2019-02-28
RC-1054,5499,9,2019-02-28
BX-1012,399,6,2019-02-28
HB-1171,699,5,2019-02-28
HB-1174,379,9,2019-02-28
BX-1014,799,7,2019-02-28
EB-1137,7900,9,2019-03-09
RC-1053,4599,6,2019-03-09
BX-1013,449,10,2019-03-09
EB-1137,7900,5,2019-03-09
CC-1022,1200,3,2019-03-09
BX-1016,319,1,2019-03-09
DB-1083,1199,2,2019-03-09
HB-1175,899,3,2019-03-09
CC-1023,1361,10,2019-03-09
BX-1013,449,1,2019-03-09
CC-1022,1200,5,2019-03-11
RC-1054,5499,2,2019-03-11
CC-1023,1361,10,2019-03-02
CC-1022,1200,1,2019-03-02
MB-1033,3999,9,2019-03-13
EB-1131,1500,5,2019-03-13
RO-1002,689,2,2019-03-05
EB-1135,3000,7,2019-03-05
CC-1021,1144,4,2019-03-20
HB-1172,799,10,2019-03-20
RO-1002,689,1,2019-03-20
BX-1013,449,10,2019-03-20
HB-1173,649,4,2019-03-20
HB-1171,699,8,2019-03-20
EB-1137,7900,7,2019-03-20
RC-1056,2499,7,2019-03-20
BX-1015,299,10,2019-03-20
HB-1173,649,1,2019-03-20
RC-1053,4599,7,2019-03-27
EB-1136,5000,8,2019-03-27
RC-1052,3999,1,2019-03-27
EB-1136,5000,1,2019-03-27
CB-1161,399,7,2019-03-27
EB-1131,1500,8,2019-03-27
MB-1034,2499,6,2019-03-11
EB-1134,4800,3,2019-03-11
HB-1172,799,6,2019-03-16
HB-1175,899,2,2019-03-16
BX-1013,449,5,2019-03-16
CB-1162,400,9,2019-03-16
CC-1023,1361,6,2019-03-16
CC-1021,1144,7,2019-03-16
RC-1053,4599,4,2019-03-16
BX-1012,399,3,2019-03-16
CC-1023,1361,5,2019-03-16
EB-1131,1500,8,2019-03-16
CB-1162,400,5,2019-03-05
CC-1022,1200,10,2019-03-05
BX-1011,249,4,2019-03-05
CB-1162,400,9,2019-03-05
CB-1161,399,8,2019-03-05
HB-1174,379,5,2019-03-05
BX-1012,399,4,2019-03-11
RC-1051,2499,1,2019-03-12
MB-1033,3999,5,2019-03-12
RC-1052,3999,1,2019-03-12
EB-1136,5000,8,2019-03-12
CC-1023,1361,2,2019-03-12
DB-1083,1199,7,2019-03-12
RC-1053,4599,9,2019-04-02
EB-1136,5000,5,2019-04-02
EB-1134,4800,5,2019-04-02
MB-1032,1299,10,2019-04-02
MB-1034,2499,3,2019-04-02
MB-1033,3999,9,2019-04-02
MB-1032,1299,8,2019-04-02
RO-1001,525,3,2019-03-15
BX-1014,799,8,2019-03-15
BX-1015,299,1,2019-03-15
CB-1162,400,10,2019-03-10
BX-1014,799,4,2019-03-10
CC-1023,1361,5,2019-03-10
HB-1176,1199,2,2019-03-10
HB-1171,699,3,2019-04-01
RC-1051,2499,1,2019-04-01
DB-1083,1199,8,2019-04-01
RC-1054,5499,4,2019-04-01
BX-1013,449,4,2019-04-01
DB-1081,1499,7,2019-04-01
RC-1054,5499,1,2019-04-01
MB-1033,3999,4,2019-04-01
RO-1003,721,5,2019-04-01
MB-1034,2499,6,2019-04-07
BX-1014,799,8,2019-04-07
CB-1163,288,3,2019-04-07
RC-1052,3999,10,2019-04-07
RC-1056,2499,2,2019-04-07
RC-1056,2499,2,2019-04-07
MB-1033,3999,4,2019-04-07
BX-1011,249,8,2019-04-07
EB-1134,4800,1,2019-04-07
EB-1135,3000,2,2019-04-07
RC-1052,3999,4,2019-04-08
HB-1175,899,10,2019-04-08
HB-1172,799,2,2019-04-08
RC-1057,4999,2,2019-04-08
EB-1135,3000,2,2019-04-08
HB-1176,1199,5,2019-04-08
EB-1132,1900,2,2019-04-08
RC-1053,4599,1,2019-04-08
RC-1054,5499,4,2019-04-08
HB-1173,649,5,2019-04-08
MB-1034,2499,8,2019-04-16
RC-1057,4999,4,2019-04-16
EB-1134,4800,9,2019-04-16
DB-1083,1199,7,2019-04-16
BX-1012,399,10,2019-04-16
CC-1023,1361,3,2019-04-16
MB-1033,3999,2,2019-04-16
RC-1054,5499,8,2019-03-20
BX-1015,299,4,2019-03-19
BX-1013,449,7,2019-03-19
CB-1163,288,5,2019-03-19
CC-1022,1200,7,2019-03-19
EB-1135,3000,10,2019-03-19
RC-1052,3999,1,2019-03-19
EB-1132,1900,8,2019-03-19
CB-1162,400,3,2019-03-19
CB-1163,288,5,2019-04-15
MB-1033,3999,9,2019-04-15
CB-1163,288,1,2019-04-15
RO-1001,525,7,2019-04-15
EB-1137,7900,2,2019-04-15
DB-1081,1499,5,2019-04-15
HB-1173,649,3,2019-04-15
EB-1136,5000,10,2019-04-15
EB-1134,4800,2,2019-04-15
HB-1173,649,1,2019-04-15
RC-1054,5499,2,2019-04-01
RC-1053,4599,10,2019-04-14
HB-1176,1199,5,2019-04-14
MB-1034,2499,8,2019-04-14
RC-1052,3999,6,2019-03-20
RO-1002,689,7,2019-03-20
CB-1163,288,10,2019-03-20
DB-1082,1250,7,2019-03-20
DB-1081,1499,10,2019-03-20
EB-1135,3000,3,2019-03-20
MB-1031,649,7,2019-03-20
HB-1175,899,3,2019-03-20
CC-1022,1200,6,2019-04-06
CC-1021,1144,1,2019-04-06
RC-1052,3999,2,2019-04-06
RC-1056,2499,1,2019-04-06
EB-1136,5000,3,2019-04-06
RC-1055,1999,9,2019-04-06
CC-1023,1361,7,2019-04-23
RC-1055,1999,4,2019-04-23
EB-1137,7900,10,2019-04-23
MB-1032,1299,7,2019-04-23
EB-1133,2250,5,2019-04-23
DB-1081,1499,10,2019-04-23
CB-1162,400,10,2019-04-23
BX-1012,399,9,2019-04-24
CB-1161,399,7,2019-04-24
EB-1137,7900,1,2019-04-02
RO-1002,689,10,2019-04-02
BX-1013,449,9,2019-04-02
MB-1033,3999,9,2019-04-02
DB-1083,1199,10,2019-04-02
RC-1054,5499,9,2019-04-02
HB-1173,649,7,2019-04-02
CB-1163,288,5,2019-04-02
CC-1023,1361,7,2019-04-02
CB-1161,399,3,2019-04-02
EB-1136,5000,8,2019-04-13
RC-1056,2499,8,2019-04-13
RC-1054,5499,7,2019-04-13
BX-1011,249,7,2019-04-13
MB-1032,1299,4,2019-04-13
EB-1137,7900,6,2019-04-13
BX-1011,249,1,2019-04-13
RO-1003,721,5,2019-04-08
BX-1016,319,3,2019-04-08
CB-1163,288,8,2019-04-08
EB-1136,5000,3,2019-04-08
CB-1163,288,7,2019-04-08
HB-1176,1199,4,2019-04-08
EB-1132,1900,10,2019-04-08
RC-1053,4599,8,2019-04-08
BX-1016,319,10,2019-05-03
EB-1132,1900,3,2019-05-03
RO-1003,721,6,2019-05-03
CB-1161,399,9,2019-05-03
EB-1133,2250,8,2019-05-03
MB-1031,649,10,2019-04-27
EB-1134,4800,9,2019-04-27
BX-1013,449,6,2019-04-27
MB-1033,3999,3,2019-04-27
